location,location_type,market,annual_revenue_usd,revenue_per_kw_yr,total_cycles,months,site,site_type,site_mw
HB_HOUSTON,hub,RT,7560744.153549053,75.60744153549052,519.7045616099176,12,,,
HB_NORTH,hub,RT,7885057.043263957,78.85057043263957,539.9051385281106,12,,,
HB_SOUTH,hub,RT,7917990.572989058,79.17990572989058,518.2280461503696,12,,,
HB_WEST,hub,RT,9440895.239676233,94.40895239676233,609.3072273033405,12,,,
HB_HOUSTON,hub,DA,7334536.058207044,73.34536058207044,478.00360017159767,12,,,
HB_NORTH,hub,DA,7552270.6664016675,75.52270666401668,491.458383255556,12,,,
HB_SOUTH,hub,DA,7344532.14674116,73.4453214674116,481.15788523854525,12,,,
HB_WEST,hub,DA,8683349.04432015,86.8334904432015,543.1462408073253,12,,,
LAMESASLR_G,node,RT,13624333.189714191,136.24333189714193,649.2956608885953,12,Lamesa Solar,solar,102.0
MISAE_GEN_RN,node,RT,8954506.004055802,89.54506004055801,723.6060839638072,12,Misae Solar,solar,240.0
LHORN_N_U1_2,node,RT,9155034.558120994,91.55034558120994,741.250650088162,12,Longhorn Wind,wind,200.0
PC_NORTH_1,node,RT,12014233.626334531,120.14233626334531,660.3497328115194,12,Panther Creek,wind,142.5
SWEC_G1,node,RT,13276914.384402951,132.76914384402951,617.6475493063796,12,Stanton Wind,wind,120.0
